rgb_conv.0.weight	[8, 5, 1, 1]
feature_extractor.backbone.conv13.bottleneck_conv.bn.bias	[672]
feature_extractor.backbone.conv13.bottleneck_conv.bn._mean	[672]
feature_extractor.backbone.conv13.bottleneck_conv.bn._variance	[672]
feature_extractor.backbone.conv13.mid_se.conv1.weight	[168, 672, 1, 1]
feature_extractor.backbone.conv13.mid_se.conv1.bias	[168]
feature_extractor.backbone.conv13.mid_se.conv2.weight	[672, 168, 1, 1]
feature_extractor.backbone.conv13.mid_se.conv2.bias	[672]
feature_extractor.backbone.conv13.linear_conv.conv.weight	[112, 672, 1, 1]
feature_extractor.backbone.conv13.linear_conv.bn.weight	[112]
feature_extractor.backbone.conv13.linear_conv.bn.bias	[112]
feature_extractor.backbone.conv13.linear_conv.bn._mean	[112]
feature_extractor.backbone.conv13.linear_conv.bn._variance	[112]
feature_extractor.backbone.conv14.expand_conv.conv.weight	[672, 112, 1, 1]
feature_extractor.backbone.conv14.expand_conv.bn.weight	[672]
feature_extractor.backbone.conv14.expand_conv.bn.bias	[672]
feature_extractor.backbone.conv14.expand_conv.bn._mean	[672]
feature_extractor.backbone.conv14.expand_conv.bn._variance	[672]
feature_extractor.backbone.conv14.bottleneck_conv.conv.weight	[672, 1, 5, 5]
feature_extractor.backbone.conv14.bottleneck_conv.bn.weight	[672]
feature_extractor.backbone.conv14.bottleneck_conv.bn.bias	[672]
feature_extractor.backbone.conv14.bottleneck_conv.bn._mean	[672]
feature_extractor.backbone.conv14.bottleneck_conv.bn._variance	[672]
feature_extractor.backbone.conv14.mid_se.conv1.weight	[168, 672, 1, 1]
feature_extractor.backbone.conv14.mid_se.conv1.bias	[168]
feature_extractor.backbone.conv14.mid_se.conv2.weight	[672, 168, 1, 1]
feature_extractor.backbone.conv14.mid_se.conv2.bias	[672]
feature_extractor.backbone.conv14.linear_conv.conv.weight	[160, 672, 1, 1]
feature_extractor.backbone.conv14.linear_conv.bn.weight	[160]
feature_extractor.backbone.conv14.linear_conv.bn.bias	[160]
feature_extractor.backbone.conv14.linear_conv.bn._mean	[160]
feature_extractor.backbone.conv14.linear_conv.bn._variance	[160]
feature_extractor.backbone.conv15.expand_conv.conv.weight	[960, 160, 1, 1]
feature_extractor.backbone.conv15.expand_conv.bn.weight	[960]
feature_extractor.backbone.conv15.expand_conv.bn.bias	[960]
feature_extractor.backbone.conv15.expand_conv.bn._mean	[960]
feature_extractor.backbone.conv15.expand_conv.bn._variance	[960]
feature_extractor.backbone.conv15.bottleneck_conv.conv.weight	[960, 1, 5, 5]
feature_extractor.backbone.conv15.bottleneck_conv.bn.weight	[960]
feature_extractor.backbone.conv15.bottleneck_conv.bn.bias	[960]
feature_extractor.backbone.conv15.bottleneck_conv.bn._mean	[960]
feature_extractor.backbone.conv15.bottleneck_conv.bn._variance	[960]
feature_extractor.backbone.conv15.mid_se.conv1.weight	[240, 960, 1, 1]
feature_extractor.backbone.conv15.mid_se.conv1.bias	[240]
feature_extractor.backbone.conv15.mid_se.conv2.weight	[960, 240, 1, 1]
feature_extractor.backbone.conv15.mid_se.conv2.bias	[960]
